Institution,Q3_SATMath,Q7_ACTMath,Q15_CalculusNonAPFinalGrade,Q17_CalculusABFinalGrade,Q17_CalculusBCFinalGrade,Q18,Q26,Q29_Confident,Q48,Q60,Q3Post,Q4Post_NeverIntended,Q4Post_Major,Q4Post_Experience,Q4Post_OtherCourses,Q4Post_Time,Q4Post_Grade,Q4Post_Understand,Q5Post,Q6Post_Confident,Q18Post_AskedQs,Q18Post_Listened,Q18Post_Applications,Q18Post_Time,Q18Post_ProblemSolver,Q18Post_Explanations,Q18Post_Appointments,Q18Post_Discouraged,Q19Post_SpecificProblems,Q19Post_WorkTogether,Q19Post_Discussion,Q19Post_Presentations,Q19Post_Individually,Q19Post_Lecture,Q19Post_AskQuestions,Q19Post_ExplainThinking
62,590,NA,NA,5,NA,NA,3,4,1,12,2,1,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,4,4,5,1,4,4,3,1,1,3,5,3
62,NA,30,NA,NA,NA,2,2,5,2,3,2,1,NA,NA,NA,NA,NA,NA,2,4,4,4,5,5,4,3,5,3,5,4,5,1,5,5,5,4
62,690,NA,NA,4,NA,2,3,5,1,16,3,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,3,5,5,1,6,4,1,1,4,6,4,5
62,690,NA,NA,NA,NA,2,2,3,1,16,3,1,NA,NA,NA,NA,NA,NA,2,3,6,6,6,5,5,4,6,1,4,3,6,1,2,5,6,5
62,620,NA,NA,NA,NA,2,3,5,1,1,3,NA,NA,3,NA,5,NA,NA,2,3,3,3,5,4,2,2,4,4,4,3,1,2,3,4,5,5
62,600,NA,5,NA,NA,2,2,5,1,12,2,NA,NA,NA,4,5,NA,NA,2,4,3,4,NA,NA,NA,NA,4,2,4,6,NA,1,4,3,3,4
62,NA,25,3,NA,NA,2,2,5,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,4,6,4,4,1,4,6,4,1,6,5,4,4
62,NA,NA,NA,5,NA,2,2,4,2,1,2,1,NA,NA,4,NA,NA,NA,2,5,4,3,5,3,3,4,4,2,5,4,2,1,3,5,3,2
62,NA,NA,2,NA,NA,2,3,5,1,12,3,NA,NA,NA,4,NA,NA,NA,3,5,4,4,5,5,4,3,4,2,4,4,3,1,2,5,5,4
62,630,NA,NA,NA,NA,2,2,4,2,13,2,1,NA,NA,NA,NA,NA,NA,NA,4,5,6,6,6,6,6,6,1,6,5,5,1,5,4,5,5
62,680,27,2,6,NA,2,3,6,1,12,3,NA,NA,NA,4,NA,NA,NA,3,5,5,5,5,5,5,5,5,2,4,3,2,1,5,5,5,3
62,710,NA,7,NA,NA,2,2,4,1,3,2,1,NA,NA,4,NA,NA,NA,2,5,5,5,6,5,5,5,5,1,5,5,5,1,3,6,5,4
62,680,NA,2,2,NA,2,2,6,1,16,2,NA,NA,NA,4,NA,NA,NA,2,6,6,5,6,6,4,4,NA,1,5,6,3,1,6,6,6,6
62,750,NA,NA,2,NA,2,1,6,1,12,1,NA,NA,NA,NA,NA,NA,NA,3,6,5,5,5,5,2,4,6,1,4,4,4,1,4,2,4,4
62,NA,32,NA,2,NA,2,1,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,4,5,5,6,1,2,5,5,4,2,5,6,6
62,NA,25,NA,3,NA,2,3,4,2,16,3,NA,NA,NA,NA,5,NA,7,2,1,4,4,4,4,3,2,5,3,5,5,2,1,5,5,5,4
62,NA,34,NA,2,NA,2,1,4,2,11,2,1,NA,NA,NA,NA,NA,NA,2,4,2,1,2,1,1,1,NA,6,2,3,2,1,3,6,2,1
62,650,32,4,NA,NA,2,2,5,2,1,2,1,NA,NA,NA,NA,NA,NA,2,5,2,2,5,4,4,3,5,4,5,3,1,1,2,6,4,3
62,NA,35,NA,NA,NA,2,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,6,4,4,4,4,2,5,4,3,1,3,6,4,4
62,740,31,1,NA,NA,2,1,6,1,12,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,4,4,5,4,4,4,3,2,3,4,3,3
62,710,NA,4,NA,NA,2,2,2,2,16,2,1,NA,3,4,NA,NA,NA,2,3,4,2,5,2,3,1,4,1,5,4,6,1,1,6,5,5
62,NA,28,NA,2,NA,2,2,3,1,16,2,1,NA,NA,NA,5,NA,NA,2,5,4,4,6,3,3,4,5,2,4,4,1,1,4,6,3,4
62,NA,29,NA,NA,NA,2,3,5,2,14,3,1,NA,3,NA,5,NA,NA,3,4,4,4,5,4,3,3,5,4,5,5,4,NA,4,5,4,5
62,600,NA,NA,4,NA,2,2,3,2,14,2,1,NA,3,NA,5,NA,7,2,3,2,2,5,3,3,4,5,3,5,5,4,1,2,5,3,3
62,NA,28,2,NA,NA,2,1,4,1,16,1,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,5,5,5,4,4,3,3,4,4,1,2,6,5,4
62,740,34,NA,NA,NA,2,2,4,2,3,2,1,NA,NA,NA,NA,NA,NA,2,4,6,6,6,5,5,4,6,2,3,6,6,1,2,5,6,5
62,600,26,6,7,NA,2,2,3,1,1,2,1,NA,3,NA,NA,NA,NA,2,2,2,2,3,2,1,1,4,3,1,2,2,1,3,6,3,3
62,570,27,NA,5,NA,2,3,NA,2,1,3,NA,NA,NA,4,NA,NA,NA,3,4,5,5,5,4,5,5,6,2,5,5,1,1,4,6,5,4
62,800,NA,2,NA,NA,2,3,6,1,12,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,5,4,4,5,2,5,4,2,1,4,2,5,4
62,NA,28,NA,NA,NA,2,1,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,5,4,5,4,4,2,4,3,2,4,4,1,3,6,5,4
62,610,28,NA,NA,NA,2,3,3,1,1,3,NA,NA,3,4,NA,NA,7,2,3,3,4,5,4,4,2,4,5,5,3,3,1,2,6,3,3
62,590,25,NA,10,10,2,2,4,1,13,2,1,NA,NA,NA,5,6,7,2,1,3,3,6,3,4,4,5,2,5,2,1,1,2,6,5,3
62,NA,24,NA,7,7,2,3,6,2,15,2,NA,NA,3,4,NA,NA,NA,2,5,4,NA,6,5,2,2,4,5,5,3,1,2,4,6,2,2
62,770,NA,2,NA,NA,2,3,5,1,11,3,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
62,740,NA,NA,5,NA,2,1,5,2,16,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,4,1,1,1,4,1,4,2,1,1,1,6,2,1
62,720,35,NA,2,NA,2,1,6,2,1,3,NA,NA,NA,4,NA,NA,NA,3,5,4,4,5,3,2,2,5,2,3,2,2,1,3,6,5,1
62,700,NA,NA,4,NA,2,2,5,2,12,2,1,NA,3,4,5,NA,NA,2,4,4,2,5,3,3,2,4,4,3,5,5,1,2,5,4,3
62,720,33,NA,NA,NA,2,3,6,1,12,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,6,2,4,2,5,3,3,6,2,1,3,5,3,4
62,NA,NA,NA,3,NA,2,1,5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,29,NA,NA,4,2,3,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,620,NA,1,NA,NA,1,3,6,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,650,27,NA,NA,NA,2,2,6,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,680,NA,NA,2,NA,2,2,6,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,27,4,NA,NA,2,3,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,700,NA,5,NA,NA,2,2,6,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
